Epoch,delta_cache_hit_ratio,cache_composite_ln_epoch,AverageLatency(us),predicted_average_latency_us,regression_slope,regression_intercept,r_squared
1,1.0,0.0,50.06275,88.85237342237346,14.612868654581211,88.85237342237346,0.939921429344473
2,1.0,0.6931471805599453,56.84807,98.98124213018923,14.612868654581211,88.85237342237346,0.939921429344473
3,1.0,1.0986122886681098,67.06268,104.90625049898941,14.612868654581211,88.85237342237346,0.939921429344473
4,1.0,1.3862943611198906,77.75942,109.110110838005,14.612868654581211,88.85237342237346,0.939921429344473
5,1.0,1.6094379124341003,81.49989,112.37087824447634,14.612868654581211,88.85237342237346,0.939921429344473
6,1.0,1.791759469228055,86.83769,115.03511920680518,14.612868654581211,88.85237342237346,0.939921429344473
7,1.0,1.9459101490553132,92.53863,117.2877028441353,14.612868654581211,88.85237342237346,0.939921429344473
8,1.0,2.0794415416798357,101.04404,119.23897954582077,14.612868654581211,88.85237342237346,0.939921429344473
9,1.0,2.1972245773362196,104.70185,120.96012757560536,14.612868654581211,88.85237342237346,0.939921429344473
10,1.0,2.302585092994046,112.33622,122.49974695229213,14.612868654581211,88.85237342237346,0.939921429344473
11,1.0,2.3978952727983707,116.39941,123.89250209121724,14.612868654581211,88.85237342237346,0.939921429344473
12,1.0,2.4849066497880004,121.89613,125.16398791462095,14.612868654581211,88.85237342237346,0.939921429344473
13,1.0,2.5649493574615367,125.24594,126.33364148861136,14.612868654581211,88.85237342237346,0.939921429344473
14,1.0,2.6390573296152584,134.71925,127.41657155195107,14.612868654581211,88.85237342237346,0.939921429344473
15,1.0,2.70805020110221,142.4325,128.42475532109228,14.612868654581211,88.85237342237346,0.939921429344473
16,1.0,2.772588722239781,140.44772,129.36784825363654,14.612868654581211,88.85237342237346,0.939921429344473
17,1.0,2.833213344056216,146.59571,130.25374788947374,14.612868654581211,88.85237342237346,0.939921429344473
18,0.9836308116093458,3.137704109103911,150.04344,134.70323144564867,14.612868654581211,88.85237342237346,0.939921429344473
19,0.9730166151349688,3.377672361415585,158.25452,138.20985599794858,14.612868654581211,88.85237342237346,0.939921429344473
20,0.9616542805322051,3.6477731535475675,162.78149,142.15680339687157,14.612868654581211,88.85237342237346,0.939921429344473
21,0.9465693125408697,4.003895947532849,168.2108,147.36077901028096,14.612868654581211,88.85237342237346,0.939921429344473
22,0.9456069576844935,4.119558181334912,172.82437,149.05093604112596,14.612868654581211,88.85237342237346,0.939921429344473
23,0.9492468397267299,4.143680661737399,177.2579,149.4034346788702,14.612868654581211,88.85237342237346,0.939921429344473
24,0.9158948513852136,4.9292867073956135,180.07364,160.88339263831864,14.612868654581211,88.85237342237346,0.939921429344473
25,0.890577003322514,5.6022317031155575,184.09612,170.71704947253193,14.612868654581211,88.85237342237346,0.939921429344473
26,0.8934091414985068,5.682175551991852,193.23507,171.88525843590287,14.612868654581211,88.85237342237346,0.939921429344473
27,0.8864168483924225,5.988230420983708,190.74297,176.35759803757594,14.612868654581211,88.85237342237346,0.939921429344473
28,0.8819807570910041,6.24347905811827,199.42926,180.08751284628414,14.612868654581211,88.85237342237346,0.939921429344473
29,0.8676746566483573,6.759152210314598,197.63752,187.62297688802295,14.612868654581211,88.85237342237346,0.939921429344473
